,playerlink,playername,age,from club,to club,Date,MV
32,https://www.footballtransfers.com/en/players/senin-hyacinthe-sebai,Senin Sebai,28,Akhmat,Hapoel Ironi Kiryat-Shmona,01-07-2022,Free
33,https://www.footballtransfers.com/en/players/linus-rosenlocher,Linus Rosenlöcher,21,Nurnberg,Erzgebirge Aue,01-07-2022,€50K
34,https://www.footballtransfers.com/en/players/paulino-de-la-fuente-gomez,Paulino de la Fuente,25,Malaga,Pachuca,01-07-2022,€50K
35,https://www.footballtransfers.com/en/players/thomas-delaine,Thomas Delaine,30,Metz,Strasbourg,01-07-2022,Free
36,https://www.footballtransfers.com/en/players/ally-roy,Ally Roy,24,Queen,Glentoran,01-07-2022,Free
37,https://www.footballtransfers.com/en/players/florian-eres,Florian Eres,24,A. Lustenau,Vorwarts,01-07-2022,Free
38,https://www.footballtransfers.com/en/players/lucas-fasson-dos-santos,Lucas Fasson,21,Paranaense,Lokomotiv,01-07-2022,€3M
39,https://www.footballtransfers.com/en/players/nicolas-quagliata-platero,Nicolás Quagliata,23,Montevideo,PAOK,01-07-2022,€1.8M
40,https://www.footballtransfers.com/en/players/simon-bakgard,Simon Baekgaard,22,Esbjerg,Fredericia,01-07-2022,Free
41,https://www.footballtransfers.com/en/players/niklas-stark,Niklas Stark,27,Hertha BSC,Werder,01-07-2022,Free
42,https://www.footballtransfers.com/en/players/connor-metcalfe,Connor Metcalfe,22,Melbourne City,St. Pauli,01-07-2022,Free
43,https://www.footballtransfers.com/en/players/martin-sroler,Martin Sroler,23,Aluminij,Mura,01-07-2022,Free
44,https://www.footballtransfers.com/en/players/denis-darmovzal,Denis Darmovzal,21,Opava,Mlada Boleslav,01-07-2022,Free
45,https://www.footballtransfers.com/en/players/samuel-dias-lino,Samuel Lino,22,Gil,Atletico,01-07-2022,€6.5M
46,https://www.footballtransfers.com/en/players/gedeon-kalulu,Gédéon Kalulu,24,Ajaccio,Lorient,01-07-2022,Free
47,https://www.footballtransfers.com/en/players/philipp-hofmann,Philipp Hofmann,29,Karlsruher SC,Bochum,01-07-2022,Free
48,https://www.footballtransfers.com/en/players/phil-neumann,Phil Neumann,24,Holstein,Hannover 96,01-07-2022,Free
49,https://www.footballtransfers.com/en/players/oussama-tannane,Oussama Tannane,28,Goztepe,NEC,01-07-2022,Free
50,https://www.footballtransfers.com/en/players/filip-zorvan,Filip Zorvan,26,Karvina,Sigma Olomouc,01-07-2022,Free
51,https://www.footballtransfers.com/en/players/erling-braut-haaland,Erling Haaland,21,Dortmund,Man City,01-07-2022,€60M
52,https://www.footballtransfers.com/en/players/diogo-filipe-pacheco-abreu,Diogo Abreu,19,Porto,Sporting CP,01-07-2022,Free
53,https://www.footballtransfers.com/en/players/erik-wekesser,Erik Wekesser,24,Jahn Regensburg,Nurnberg,01-07-2022,Free
54,https://www.footballtransfers.com/en/players/keanu-baccus,Keanu Baccus,24,West Sydney,St. Mirren,01-07-2022,Free
55,https://www.footballtransfers.com/en/players/petar-musa,Petar Musa,24,Boavista,Benfica,02-07-2022,€5M
56,https://www.footballtransfers.com/en/players/petar-musa,Petar Musa,24,Slavia Praha,Boavista,01-07-2022,€4.3M
57,https://www.footballtransfers.com/en/players/marvin-pieringer,Marvin Pieringer,22,SC Freiburg,Schalke 04,01-07-2022,€0.5M
58,https://www.footballtransfers.com/en/players/roman-kerschbaum,Roman Kerschbaum,28,Flyeralarm Admira,Rapid,01-07-2022,Free
59,https://www.footballtransfers.com/en/players/andre-filipe-lopes-almeida,André Almeida,27,Sporting,Ac. Viseu,01-07-2022,Free
60,https://www.footballtransfers.com/en/players/shaun-antony-rooney,Shaun Rooney,25,St. Johnstone,Fleetwood,01-07-2022,Free
61,https://www.footballtransfers.com/en/players/dominik-hladun,Dominik Hladun,26,Zaglebie Lubin,Legia Warszawa,01-07-2022,Free
62,https://www.footballtransfers.com/en/players/yaya-dukuly,Yaya Dukuly,19,Adelaide,Reims,01-07-2022,Free
63,https://www.footballtransfers.com/en/players/scott-flinders,Scott Flinders,36,Cheltenham,Mansfield,01-07-2022,Free
64,https://www.footballtransfers.com/en/players/valentin-ionut-costache,Valentin Costache,23,CFR Cluj,Rapid,01-07-2022,€0.1M
65,https://www.footballtransfers.com/en/players/jeremy-corinus,Jérémy Corinus,25,Academica Clinceni,Viitorul,01-07-2022,Free
66,https://www.footballtransfers.com/en/players/jorge-andres-carrascal-guardo,Jorge Carrascal,24,River Plate,CSKA,01-07-2022,€6M
67,https://www.footballtransfers.com/en/players/bruno-felipe-bruno,Bruno,28,Sheriff,Omonia,01-07-2022,Free
68,https://www.footballtransfers.com/en/players/remy-riou,Rémy Riou,34,Caen,Lyon,01-07-2022,Free
69,https://www.footballtransfers.com/en/players/david-marshall,David Marshall,37,QPR,Hibernian,01-07-2022,Free
70,https://www.footballtransfers.com/en/players/ben-hockenhall,Ben Hockenhull,20,Brentford,Tranmere,01-07-2022,Free
71,https://www.footballtransfers.com/en/players/juan-segovia,Juan Pablo Segovia,33,Puebla,Necaxa,01-07-2022,Free
72,https://www.footballtransfers.com/en/players/rachid-ahmed-bouhenna,Rachid Bouhenna,31,CFR Cluj,FCSB,01-07-2022,Free
73,https://www.footballtransfers.com/en/players/marc-roca-junque,Marc Roca,25,Bayern,Leeds United,01-07-2022,€12M
74,https://www.footballtransfers.com/en/players/jens-petter-hauge,Jens Petter Hauge,22,Milan,E. Frankfurt,01-07-2022,€12M
75,https://www.footballtransfers.com/en/players/abdoulrahmane-harroui,Abdou Harroui,24,Sparta Rotterdam,Sassuolo,01-07-2022,€3M
76,https://www.footballtransfers.com/en/players/paul-mcginn,Paul McGinn,31,Hibernian,Motherwell,01-07-2022,Free
77,https://www.footballtransfers.com/en/players/taras-zaviyskyi,Taras Zaviyskyi,27,Desna,Bruk-Bet,01-07-2022,Free
78,https://www.footballtransfers.com/en/players/kristian-pedersen,Kristian Pedersen,27,Birmingham City,Koln,01-07-2022,Free
79,https://www.footballtransfers.com/en/players/dumisani-zuma,Dumisani Zuma,27,Kaizer Chiefs,AmaZulu,01-07-2022,Free
80,https://www.footballtransfers.com/en/players/andries-noppert,Andries Noppert,28,Go,Heerenveen,01-07-2022,Free
81,https://www.footballtransfers.com/en/players/diego-carlos,Diego Carlos,29,Sevilla,Aston Villa,01-07-2022,€31M
82,https://www.footballtransfers.com/en/players/pau-lopez,Pau López,27,Roma,Marseille,01-07-2022,€12M
83,https://www.footballtransfers.com/en/players/cengiz-under,Cengiz Ünder,24,Roma,Marseille,01-07-2022,€8.4M
84,https://www.footballtransfers.com/en/players/ruben-alcaraz,Rubén Alcaraz,31,Real Valladolid,Cadiz,01-07-2022,€1M
85,https://www.footballtransfers.com/en/players/christopher-martins-pereira,Christopher Martins Pereira,25,Young Boys,Spartak,01-07-2022,€6.4M
86,https://www.footballtransfers.com/en/players/maximilian-bauer-3,Maximilian Bauer,22,SpVgg Greuther,Augsburg,01-07-2022,Free
87,https://www.footballtransfers.com/en/players/rui-pedro-ribeiro-fernandes-duarte-gomes,Rui Gomes,24,Sporting,Portimonense,01-07-2022,Free
88,https://www.footballtransfers.com/en/players/jakub-kaminski-1,Jakub Kaminski,20,Lech Poznan,VfL Wolfsburg,01-07-2022,€10M
89,https://www.footballtransfers.com/en/players/federico-chiesa,Federico Chiesa,24,Fiorentina,Juventus,01-07-2022,€40M
90,https://www.footballtransfers.com/en/players/michael-ruth,Michael Ruth,20,Aberdeen,Queen,01-07-2022,Free
91,https://www.footballtransfers.com/en/players/dominik-pila,Dominik Pila,21,Chrobry Glogow,Lechia Gdansk,01-07-2022,Free
92,https://www.footballtransfers.com/en/players/hiroki-ito,Hiroki Ito,23,Iwata,VfB Stuttgart,01-07-2022,€0.4M
93,https://www.footballtransfers.com/en/players/roei-herman,Roy Herman,22,Hapoel Raanana,Botev,01-07-2022,€0.2M
94,https://www.footballtransfers.com/en/players/taylor-booth,Taylor Booth,21,Bayern,Utrecht,01-07-2022,Free
95,https://www.footballtransfers.com/en/players/yahia-fofana,Yahia Fofana,21,Le Havre,Angers,01-07-2022,Free
96,https://www.footballtransfers.com/en/players/florin-bogdan-stefan,Florin Stefan,26,CFR Cluj,Rapid,01-07-2022,€0.2M
97,https://www.footballtransfers.com/en/players/niklas-suele,Niklas Süle,26,Bayern,Dortmund,01-07-2022,Free
98,https://www.footballtransfers.com/en/players/ibrahim-dresevic-1,Ibrahim Dresevic,25,Heerenveen,Fatih,01-07-2022,Free
99,https://www.footballtransfers.com/en/players/marko-zalokar,Marko Zalokar,32,Mura,Maribor,01-07-2022,Free
100,https://www.footballtransfers.com/en/players/jake-clarkesalter,Jake Clarke-Salter,24,Chelsea,QPR,01-07-2022,Free
101,https://www.footballtransfers.com/en/players/bruno-paz,Bruno Paz,24,Sporting CP,Konyaspor,01-07-2022,Free
102,https://www.footballtransfers.com/en/players/elias-cobbaut,Elias Cobbaut,24,Anderlecht,Parma,01-07-2022,€3M
103,https://www.footballtransfers.com/en/players/rashaan-fernandes,Rashaan Fernandes,23,SC Telstar,Go,01-07-2022,Free
104,https://www.footballtransfers.com/en/players/eric-martel,Eric Martel,20,RB Leipzig,Koln,01-07-2022,€1.2M
105,https://www.footballtransfers.com/en/players/nestor-araujo,Néstor Araújo,30,Celta,America,01-07-2022,€3M
106,https://www.footballtransfers.com/en/players/alexandru-chipciu,Alexandru Chipciu,33,CFR Cluj,Cluj,01-07-2022,Free
107,https://www.footballtransfers.com/en/players/danny-rose-1,Danny Rose,28,Northampton,Stevenage,01-07-2022,Free
108,https://www.footballtransfers.com/en/players/fabio-carvalho-3,Fábio Carvalho,19,Fulham,Liverpool,01-07-2022,€5.9M
109,https://www.footballtransfers.com/en/players/ivan-jose-marcone,Iván Marcone,32,Elche,Independiente,01-07-2022,€1.9M
110,https://www.footballtransfers.com/en/players/rory-brown-1,Rory Brown,22,Glentoran,Glenavon,01-07-2022,Free
111,https://www.footballtransfers.com/en/players/jayson-molumby,Jayson Molumby,22,Brighton,West Bromwich,01-07-2022,€1M
112,https://www.footballtransfers.com/en/players/heechan-hwang,Hee-chan Hwang,26,RB Leipzig,Wolverhampton,01-07-2022,€16.7M
113,https://www.footballtransfers.com/en/players/tomas-malinsky,Tomas Malinsky,30,Slavia Praha,Jablonec,01-07-2022,€0.2M
114,https://www.footballtransfers.com/en/players/xander-blomme,Xander Blomme,20,Brugge,Go,01-07-2022,Free
115,https://www.footballtransfers.com/en/players/mateusz-bondarenko,Mateusz Bondarenko,22,Jastrzebie,Resovia,01-07-2022,Free
116,https://www.footballtransfers.com/en/players/jessic-gaitan-ngankam,Jessic Ngankam,21,SpVgg Greuther,Hertha BSC,02-07-2022,€2M
117,https://www.footballtransfers.com/en/players/jessic-gaitan-ngankam,Jessic Ngankam,21,Hertha BSC,SpVgg Greuther,01-07-2022,€1.5M
118,https://www.footballtransfers.com/en/players/milosz-trojak,Milosz Trojak,28,Odra,Korona Kielce,01-07-2022,Free
119,https://www.footballtransfers.com/en/players/jeaneudes-aholou,Jean-Eudes Aholou,28,Monaco,Strasbourg,01-07-2022,€3M
120,https://www.footballtransfers.com/en/players/patrick-wimmer-1,Patrick Wimmer,21,Arminia,VfL Wolfsburg,01-07-2022,€5M
121,https://www.footballtransfers.com/en/players/mario-vuskovic,Mario Vuskovic,20,Hajduk Split,Hamburger,01-07-2022,€3M
122,https://www.footballtransfers.com/en/players/linton-maina,Linton Maina,23,Hannover 96,Koln,01-07-2022,Free
123,https://www.footballtransfers.com/en/players/ekin-celebi,Ekin Çelebi,22,VfB Stuttgart,Hannover 96,01-07-2022,Free
124,https://www.footballtransfers.com/en/players/jan-gyamerah,Jan Gyamerah,27,Hamburger,Nurnberg,01-07-2022,Free
125,https://www.footballtransfers.com/en/players/konrad-michalak,Konrad Michalak,24,Akhmat,Konyaspor,01-07-2022,€0.5M
126,https://www.footballtransfers.com/en/players/finn-ole-becker,Finn Ole Becker,22,St. Pauli,Hoffenheim,01-07-2022,Free
127,https://www.footballtransfers.com/en/players/robbe-quirynen-1,Robbe Quirynen,20,Deinze,Beerschot,01-07-2022,Free
128,https://www.footballtransfers.com/en/players/emre-demir-4,Emre Demir,18,Kayserispor,Barcelona,01-07-2022,€2M
129,https://www.footballtransfers.com/en/players/merih-demiral,Merih Demiral,24,Juventus,Atalanta,01-07-2022,€20M
130,https://www.footballtransfers.com/en/players/leo-greiml,Leo Greiml,20,Rapid,Schalke 04,01-07-2022,Free
131,https://www.footballtransfers.com/en/players/tiago-volpi,Tiago Volpi,31,Sao Paulo,Toluca,01-07-2022,€2.5M
132,https://www.footballtransfers.com/en/players/jordi-oseitutu,Jordi Osei-Tutu,23,Arsenal,Bochum,01-07-2022,Free
133,https://www.footballtransfers.com/en/players/cesar-saul-huerta-valera,César Huerta,21,Guadalajara,Pumas,01-07-2022,Free
134,https://www.footballtransfers.com/en/players/anthony-caci,Anthony Caci,25,Strasbourg,Mainz 05,01-07-2022,Free
135,https://www.footballtransfers.com/en/players/patryk-szysz,Patryk Szysz,24,Zaglebie Lubin,Istanbul,01-07-2022,Free
136,https://www.footballtransfers.com/en/players/jan-zidek,Jan Zidek,36,Opava,Karvina,01-07-2022,Free
137,https://www.footballtransfers.com/en/players/adam-buksa,Adam Buksa,25,New England Rev.,Lens,01-07-2022,€9.1M
138,https://www.footballtransfers.com/en/players/viorel-lica,Viorel Lica,27,Petrolul 52,Politehnica,01-07-2022,Free
139,https://www.footballtransfers.com/en/players/alperen-uysal,Alperen Uysal,28,Istanbulspor,Antalyaspor,01-07-2022,Free
140,https://www.footballtransfers.com/en/players/ion-gheorghe,Ion Gheorghe,22,Voluntari,Sepsi,01-07-2022,Free
141,https://www.footballtransfers.com/en/players/youssef-challouk,Youssef Challouk,26,Deinze,Kortrijk,01-07-2022,Free
142,https://www.footballtransfers.com/en/players/calvin-raatsie,Calvin Raatsie,20,Ajax,Utrecht,01-07-2022,Free
143,https://www.footballtransfers.com/en/players/arkadiusz-reca,Arkadiusz Reca,27,Atalanta,Spezia Calcio,01-07-2022,€2M
144,https://www.footballtransfers.com/en/players/valon-fazliu,Valon Fazliu,26,St. Gallen,Aarau,01-07-2022,Free
145,https://www.footballtransfers.com/en/players/malik-tchokounte,Malik Tchokounté,33,Dunkerque,Nimes Olympique,01-07-2022,Free
146,https://www.footballtransfers.com/en/players/pietro-beruatto,Pietro Beruatto,23,Juventus,Pisa,01-07-2022,€1M
147,https://www.footballtransfers.com/en/players/blair-spittal,Blair Spittal,26,Ross,Motherwell,01-07-2022,Free
148,https://www.footballtransfers.com/en/players/leonardo-mancuso,Leonardo Mancuso,30,Empoli,Monza,01-07-2022,€3M
149,https://www.footballtransfers.com/en/players/alan-thomas-daniel-power,Alan Power,34,St. Mirren,Kilmarnock,01-07-2022,Free
150,https://www.footballtransfers.com/en/players/milan-gajic-1,Milan Gajic,26,Crvena Zvezda,CSKA,01-07-2022,Free
151,https://www.footballtransfers.com/en/players/juraj-kucka,Juraj Kucka,35,Parma,Slovan,01-07-2022,Free
152,https://www.footballtransfers.com/en/players/stefan-lyubomirov-tsonkov,Stefan Tsonkov,27,Montana,CSKA 1948,01-07-2022,Free
153,https://www.footballtransfers.com/en/players/richmond-tachie,Richmond Tachie,23,Dortmund,Paderborn,01-07-2022,Free
154,https://www.footballtransfers.com/en/players/saulo-decarli,Saulo Decarli,30,Bochum,Eintracht,01-07-2022,Free
155,https://www.footballtransfers.com/en/players/gabril-culhaci,Gabriël Culhaci,22,Utrecht,Helmond Sport,01-07-2022,Free
156,https://www.footballtransfers.com/en/players/fabrizio-caligara,Fabrizio Caligara,22,Cagliari,Ascoli Picchio,01-07-2022,€0.8M
157,https://www.footballtransfers.com/en/players/scott-bitsindou,Scott Bitsindou,26,Lierse,Livingston,01-07-2022,Free
158,https://www.footballtransfers.com/en/players/salih-ozcan,Salih Özcan,24,Koln,Dortmund,01-07-2022,€5M
159,https://www.footballtransfers.com/en/players/riad-bajic,Riad Bajić,28,Udinese,Brescia,01-07-2022,€2.7M
160,https://www.footballtransfers.com/en/players/alkain,Xeber Alkain,25,Real Sociedad,Alaves,01-07-2022,Free
161,https://www.footballtransfers.com/en/players/nicolas-hasler,Nicolas Hasler,31,Thun,Vaduz,01-07-2022,Free
162,https://www.footballtransfers.com/en/players/allan-goncalves-sousa,Allan Sousa,25,Vejle,AaB,01-07-2022,Free
163,https://www.footballtransfers.com/en/players/jack-mcmillan,Jack McMillan,24,Livingston,Partick Thistl,01-07-2022,Free
164,https://www.footballtransfers.com/en/players/david-karaev,David Karaev,27,SKA Khabarovsk,Torpedo,01-07-2022,Free
165,https://www.footballtransfers.com/en/players/yusuf-sari,Yusuf Sari,23,Caykur,Adana Demirspor,01-07-2022,Free
166,https://www.footballtransfers.com/en/players/carl-piergianni,Carl Piergianni,30,Oldham,Stevenage,01-07-2022,Free
167,https://www.footballtransfers.com/en/players/rafal-straczek,Rafal Straczek,23,Stal Mielec,Bordeaux,01-07-2022,Free
